run,string1,string2,string3,string4,p_initial_residual,label
run_00001,(((((0.430 * 0.089) * 0.205) * 0.205) + ((I1 * I1) * (2.0 - I1))) + (-0.15 - 1.0)),((0.097 * I1) + (-1.0 - ((I1 - 0.089) - (I1 * 1.0)))),(((((-1.0 - 0.430) - (0.089 - 1.0)) * (2.0 * I1)) * (2.0 + I2)) * (I2 * I2)),(((2.0 + 0.430) - 0.205) - ((I2 - (I2 - (0.205 * 0.097))) * 0.430)),9.98E-12,0
run_00002,((-0.15 * (I1 * ((2.0 - 1.0) + 1.0))) + (0.430 * 2.0)),((0.089 - (1.0 - (I2 + (I1 - -1.0)))) + ((-0.15 - (I2 + (0.097 + I1))) - I1)),((((I1 + (I1 * 2.0)) + (I2 - -0.15)) + ((1.0 + (-0.15 * 0.089)) - (2.0 + 0.430))) * ((I2 * 0.089) + (I2 - ((0.205 - 2.0) + (0.430 - 0.430))))),((0.097 * -1.0) - (I1 - ((1.0 - I2) * (I1 + 0.089)))),4.71E-06,0
run_00003,(((0.205 - ((-1.0 * 0.205) + I1)) * I1) - ((-0.15 - 0.205) - 1.0)),((I1 * 0.089) - ((I1 - (0.097 - 0.097)) * I1)),((I1 - I2) - ((2.0 * (0.205 + 0.097)) - -1.0)),(((I1 + ((-1.0 - -0.15) + 1.0)) * (2.0 * (0.097 - (1.0 + 2.0)))) - ((((0.205 - -1.0) + 0.089) + (I1 - 1.0)) + (0.097 + I1))),0.135275,1
run_00004,(((1.0 * 0.089) * (-1.0 * (I2 - (-0.15 - 0.430)))) * ((0.430 * ((0.430 - I2) * (0.205 - 0.097))) - 1.0)),(((I1 - ((0.089 + 1.0) - I1)) + 0.089) + ((0.430 - (0.089 + (0.097 + I2))) - (((I1 * I1) * I1) * 0.097))),((2.0 + (0.089 * I1)) + ((((2.0 - 0.089) * 0.097) + 2.0) * -1.0)),((I2 - 1.0) * (0.205 - (0.430 - 0.430))),1.09E-08,0
run_00005,((I2 * I1) - (0.430 - 0.430)),((I1 - (2.0 * (1.0 * I1))) * ((((2.0 + I2) - 0.205) - -1.0) * I2)),((1.0 * (((I1 + I1) * (I2 - 1.0)) * I2)) - (0.205 + -1.0)),((((I2 + I2) + -0.15) - I1) - (I1 + (0.430 * 0.097))),1.30E-10,0
run_00006,(((2.0 * (I1 - I2)) - I2) * ((I1 - 2.0) + ((0.097 + (0.430 * 2.0)) - 0.430))),((((I2 - (2.0 * I2)) - (0.097 * 2.0)) * -0.15) * ((((0.205 + 0.097) + 1.0) * I2) * 0.097)),((I2 * 1.0) * ((I1 - ((0.205 * 1.0) - 0.097)) - (-0.15 * ((0.089 * I1) - (I1 + -1.0))))),((-0.15 * I2) * (-1.0 - I2)),6.01E-09,0
run_00007,((0.089 * ((-0.15 * (2.0 - I2)) + (I1 - 0.430))) - (I2 + ((I1 * I2) * I2))),((((-0.15 + (-1.0 + 0.097)) - I2) + -0.15) - (-1.0 - I1)),((2.0 + ((I1 * (I1 - 2.0)) - (0.089 * I2))) + (((0.205 + -0.15) * I2) * (1.0 - I2))),((2.0 - -0.15) + ((I1 * ((0.097 + I2) - (-0.15 * 2.0))) + ((I2 - (0.097 * -1.0)) - (-1.0 * -0.15)))),7.33E-09,0
run_00008,((1.0 + 0.430) - ((((-0.15 + 2.0) - I1) + 2.0) - I1)),(((I2 - ((I2 - 0.089) + (I2 * 0.205))) + (((0.089 + 1.0) + (0.089 + 2.0)) + -1.0)) * (2.0 - (I1 + ((1.0 + 1.0) + I1)))),(((I1 - (I2 - 0.089)) * I2) * ((I2 - ((0.097 * 0.205) + (0.430 * 0.430))) + (((0.089 + 2.0) + (0.089 - 0.097)) - I1))),((((I2 - 2.0) * (-1.0 * 0.097)) + I2) * (I2 * (((I2 - 2.0) + (1.0 + I1)) - I1))),0.27444,1
run_00009,(((I2 + (1.0 * (2.0 * -0.15))) * (((2.0 - -0.15) - (0.205 * 0.089)) - (-1.0 + 0.205))) * (0.205 - ((1.0 * 1.0) + I2))),((((0.097 * (0.089 * 0.205)) + (0.089 + 0.430)) + I1) * ((((-0.15 + 0.097) + (I2 + -0.15)) * 0.089) * 1.0)),((-1.0 + ((2.0 - 0.097) - (0.205 + 0.089))) * (I2 + I2)),(((0.430 - I1) - 1.0) * (((I1 * (-1.0 * 0.205)) * 2.0) - 2.0)),2.76E-06,0
run_00010,(((I2 * ((2.0 + -1.0) + I1)) * 2.0) * ((0.430 + (I2 + (0.089 - 0.097))) * -0.15)),((I2 * (I2 - (0.205 * (0.097 - 0.089)))) * ((((I2 - 0.430) + 0.089) + 0.430) * 2.0)),((0.097 + 2.0) + (I1 - I1)),((0.097 + (I2 + 0.089)) - (I2 + (((I2 - -0.15) + I1) - 2.0))),9.03E-10,0
run_00011,((I2 * ((I1 * (0.097 * I2)) - (0.205 + 2.0))) + (0.097 + (1.0 + 0.097))),((I2 + (I1 + (0.205 * (I1 + 0.430)))) - (I2 - 0.205)),(((I2 - 0.430) * I1) - (((I2 * I1) * 0.205) + I2)),(((1.0 + 2.0) + (((I2 * 1.0) + (I1 - I1)) - (0.205 + 0.430))) + ((0.089 - ((I2 + 1.0) - (0.205 - 0.430))) * I2)),0.0366895,1
run_00012,((((0.089 - (0.430 * 0.430)) + (I2 - -0.15)) - I1) * ((2.0 - (0.205 * (0.089 - 0.430))) * I2)),(((((0.205 * -1.0) * (1.0 + I1)) + I1) * 0.089) + ((((I2 - -1.0) - (0.097 + -0.15)) * (I1 + 0.097)) * -1.0)),((I1 * (-1.0 + ((-0.15 + 0.097) + (I2 - 0.205)))) * ((I1 + (0.089 + (0.089 * 0.430))) * I1)),(((I2 * I1) + I2) + ((0.089 + ((I2 + 2.0) + (-1.0 + -1.0))) * (1.0 - (I1 - (I1 + I1))))),1.36E-09,0
run_00013,((0.097 * I2) - ((I2 - 1.0) * (I2 + ((2.0 - 2.0) + I2)))),((0.097 - I1) - (I2 - ((0.430 * 0.097) + I1))),(((0.430 + ((2.0 * 0.205) * I2)) * (-0.15 + I2)) + ((((I1 * 0.089) * I2) - (2.0 * 2.0)) + -0.15)),((I1 + -1.0) - (0.205 - I1)),1.08E-08,0
run_00014,((0.097 - (I2 + -0.15)) * (I1 - (0.089 * 0.089))),(((-0.15 + (-1.0 - 0.430)) * (((2.0 * 2.0) + (0.089 + 2.0)) + (-0.15 * 2.0))) * ((I1 * ((1.0 * 0.097) - (I2 + 0.089))) + (0.205 * I1))),((I2 - 0.089) - ((((I1 * I2) + (0.205 - 1.0)) * (0.430 - 2.0)) * 0.097)),(((0.430 * I2) - ((2.0 + (0.097 * -1.0)) + (0.205 * -1.0))) + (((1.0 * 1.0) - (0.205 + 0.089)) + I2)),6.36E-11,0
run_00015,(((I2 - ((-0.15 * -1.0) + -0.15)) + 0.089) - (I1 + (((2.0 - 0.430) * I2) * (1.0 - 0.097)))),(((-1.0 - ((0.089 - 0.430) - 0.089)) * 0.430) * (0.097 * I1)),((((-0.15 + I2) + 2.0) - (0.097 - I1)) - (I2 + I1)),((0.089 * 2.0) - ((0.097 * ((1.0 * I1) + (-1.0 + 0.097))) * (0.205 * (1.0 - I1)))),8.26E-10,0
run_00016,(((I2 * ((0.430 * 2.0) + -0.15)) - (2.0 * I1)) + (((I1 - I2) * 0.205) * (0.097 + (-0.15 + (2.0 + 0.097))))),((2.0 + (((-1.0 * 0.097) - (-0.15 - -1.0)) + I1)) * (((I2 + I2) - 1.0) + -0.15)),((-0.15 * 2.0) - (I1 * -0.15)),(((-1.0 + -1.0) - 0.089) - (I1 - -1.0)),4.66E-08,0
run_00017,((I2 * (0.089 + ((1.0 + 1.0) * (-1.0 * 0.205)))) - ((I1 * I1) + (I1 * I1))),((-1.0 - (I1 - ((I1 * 1.0) * -0.15))) + (0.205 + I2)),(((I2 * I1) - (((0.097 - 0.097) + 1.0) * I2)) + ((I2 * (I1 + (2.0 - 2.0))) + ((I2 * (2.0 - 0.097)) - I2))),((((I2 - 0.097) - (1.0 * -0.15)) + (I2 * (-1.0 * I2))) * (1.0 * I2)),1.14E-08,0
run_00018,((((2.0 - (0.089 + 2.0)) + I1) + (0.430 - ((0.430 + 1.0) * (1.0 + 1.0)))) * (2.0 + -0.15)),((-0.15 - (I2 + I1)) + ((-1.0 - I1) - 2.0)),(((I2 * I1) + I2) * (((0.205 * 0.097) + (I2 + I2)) - 0.205)),((I1 - 1.0) - (2.0 * (I2 * ((0.097 - 2.0) + -1.0)))),0.444493,1
run_00019,((I1 * ((I2 * I1) * I1)) + (0.097 + 0.205)),((I1 + I1) - (2.0 + 0.097)),(((0.089 - ((I2 + -1.0) + (I1 * 0.089))) * (1.0 - 1.0)) - (0.430 + ((I2 - 2.0) - 0.097))),(((((1.0 + I1) - (-0.15 - 0.430)) - (0.097 + 0.430)) + (I2 - -1.0)) + (I1 - I1)),1.68E-08,0
run_00020,(((1.0 + ((0.430 * 0.430) * (0.205 + I1))) - -1.0) + (((-0.15 - -1.0) - 0.097) * I1)),(((2.0 * (I2 * I2)) * -0.15) + ((((-0.15 * 0.097) + I2) * 2.0) - I2)),((0.097 - 0.430) - (I2 - 1.0)),((I2 + I2) * ((I2 - I1) * (I2 - (I1 - I1)))),0.0794262,1
run_00021,((-0.15 + (2.0 + ((0.430 - 2.0) * I1))) * ((0.097 - 2.0) * (0.089 * I1))),((-0.15 + (1.0 * I1)) - (I1 + I1)),((1.0 + (((0.089 + 1.0) - I1) + (0.097 - 2.0))) * (((0.097 * (-0.15 * 0.430)) * (I1 + I1)) + 2.0)),(((((0.089 - 0.097) + -0.15) + -0.15) * 2.0) + ((((-1.0 - 0.205) * -1.0) + I1) * (((1.0 + 0.430) + 0.430) * (0.430 * 0.205)))),3.09E-09,0
